EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-15 08:00:00-05:00,11.53,,
2025-10-14 07:00:00-04:00,11.09,12.25,10.49
2025-07-16 07:00:00-04:00,9.66,10.91,12.91
2025-04-14 07:00:00-04:00,12.26,14.12,15.16
2025-01-15 07:00:00-05:00,8.29,10.97,32.26
2024-10-15 07:00:00-04:00,7.31,9.02,23.35
2024-07-15 07:00:00-04:00,8.42,8.62,2.36
2024-04-15 07:00:00-04:00,8.64,11.56,33.85
2024-01-16 07:00:00-05:00,4.27,5.48,28.33
2023-10-17 07:00:00-04:00,5.53,5.47,-1.02
2023-07-19 07:00:00-04:00,3.83,3.08,-19.55
2023-04-18 07:00:00-04:00,8.06,8.79,9.07
2023-01-17 07:00:00-05:00,5.86,3.32,-43.39
2022-10-18 07:00:00-04:00,7.52,8.25,9.73
2022-07-18 07:00:00-04:00,6.63,7.73,16.61
2022-04-14 07:00:00-04:00,8.98,10.76,19.88
2022-01-18 07:00:00-05:00,11.93,10.81,-9.37
2021-10-15 08:00:00-04:00,10.01,14.93,49.14
2021-07-13 07:00:00-04:00,10.18,15.02,47.52
2021-04-14 07:00:00-04:00,10.19,18.6,82.6
2021-01-19 07:00:00-05:00,7.36,12.55,70.43
2020-10-14 07:00:00-04:00,5.5,9.68,75.85
2020-07-15 07:00:00-04:00,3.91,6.26,60.16
2020-04-15 07:00:00-04:00,3.29,3.11,-5.51
2020-01-15 07:00:00-05:00,5.49,4.69,-14.51
2019-10-15 07:00:00-04:00,4.89,4.79,-2.07
2019-07-16 07:00:00-04:00,5.03,5.81,15.46
2019-04-15 07:00:00-04:00,5.1,5.71,12.0
2019-01-16 07:00:00-05:00,4.78,4.83,1.01
2018-10-16 07:00:00-04:00,5.34,6.28,17.65
2018-07-17 07:00:00-04:00,4.65,5.98,28.63
2018-04-17 07:00:00-04:00,5.57,6.95,24.79
2018-01-17 07:00:00-05:00,4.95,5.68,14.77
2017-10-17 07:00:00-04:00,4.15,5.02,21.07
2017-07-18 07:00:00-04:00,3.39,3.95,16.45
2017-04-18 07:00:00-04:00,5.24,5.15,-1.78
2017-01-18 07:00:00-05:00,4.8,5.08,5.88
2016-10-18 07:00:00-04:00,3.83,4.88,27.33
2016-07-19 07:00:00-04:00,3.04,3.72,22.31
2016-04-19 07:00:00-04:00,2.5,2.68,7.22
2016-01-20 07:00:00-05:00,3.62,4.68,29.19
2015-10-15 07:00:00-04:00,3.13,2.9,-7.47
2015-07-16 07:00:00-04:00,3.95,4.75,20.11
2015-04-16 07:00:00-04:00,4.27,5.94,39.12
2015-01-16 07:00:00-05:00,4.31,4.38,1.54
2014-10-16 07:00:00-04:00,3.21,4.57,42.27
2014-07-15 07:00:00-04:00,3.08,4.1,33.21
2014-04-17 07:00:00-04:00,3.46,4.02,16.23
2014-01-16 07:00:00-05:00,4.19,4.6,9.89
2013-10-17 07:00:00-04:00,2.43,2.88,18.6
